Name,Description,Thumbnail,Official Website,Location,Industry,Url
InVision,InVision is New York City based startup building a collaborative and wireframing design tool.,https://golden-media.s3.amazonaws.com/topics/19d1d712-53b4-4bf9-9161-efe6cfc6b7e4.png,"https://www.invisionapp.com/, https://www.invisionapp.com/cloud/prototype, https://www.invisionapp.com/studio, https://www.invisionapp.com/design-system-manager, https://www.invisionapp.com/enterprise, http://invisionapp.com, http://invision.com, https://dribbble.com/InVisionApp","New York City, New York","Software as a service (SaaS), Product design, Workflow, Cloud computing, Software, Graphic design, Collaboration tool, Virtual collaboration, Experience design, Customer experience, Marketing, Web hosting service",https://golden.com/wiki/InVision-ZY4
Carta (company),Carta (formerly eShares) is a San Francisco-based cap table management platform that offers 409A valuations and products for investors and public companies.,https://golden-media.s3.amazonaws.com/topic_images/58ac8431550140cea03ee7b45a894c88.png,"http://carta.com, http://www.carta.com","San Francisco, United States","Enterprise software, Financial services, Private equity, Management, Financial technology, Software, Stock exchange, Software as a service (SaaS)",https://golden.com/wiki/Carta_(company)-AN9
Opsware (company),"Opsware is a Sunnyvale, California-based company founded in 1999 by Marc Andreessen, Ernest Borgnine, Ikue Mori, MC 900 Ft. Jesus, Tim Howes, Jerome Froese, RT!, Vhils, Ben Horowitz, TFOX, Ikonika, Arteezy, IJK, Civic, In Sik Rhee, Cnaan Aviv, Scott B. Geyer, Chi Pham, Samir A. Ahmed, George Eng and Fedorishcheva Tatiana.",https://golden-media.s3.amazonaws.com/topics/2faff54c-0aef-4670-b03e-a8acba179ff5.png,"http://www.opsware.com, http://www8.hp.com/us/en/software/enterprise-software.html, https://opsware.com/","Sunnyvale, California, United Kingdom","Software, Analytics, Software as a service (SaaS), Cloud computing, Enterprise software, Collaboration, Compliance, Platform as a service (PaaS), Edge computing, No-code / low-code development, Vertical SaaS, Project management, No-code, Headless content management system, Issue tracking system, Content management system (CMS), Productivity software, Financial management, Task management, Product management",https://golden.com/wiki/Opsware_(company)-NBY
Bugsnag,"Bugsnag is an error monitoring platform for mobile, server, and browser applications based in San Francisco.",https://golden-storage-production.s3.amazonaws.com/topic_images/6bb47cbdfca74c85af54b52e8cd22186.jpeg,"http://www.bugsnag.com, https://bugsnag.com/",San Francisco,"Software as a service (SaaS), Software, Exception tracking, Cloud computing, DevOps",https://golden.com/wiki/Bugsnag-84D
Spotify,Spotify is a platform for listening to music and podcasts founded in 2006 by Daniel Ek.,https://golden-storage-production.s3.amazonaws.com/topic_images/b52e9ece3a1a4463b87681e291b2bb6e.png,"https://www.spotify.com, http://spotify.com","Stockholm, Florida, Coral Gables, Florida, United Kingdom","Podcast platform, Music, Streaming media, Music industry, Podcast aggregator, Passion economy, Software, Technology, Entertainment technology, Smart notification management, Entertainment industry, Machine learning, Artificial Intelligence (AI), Software as a service (SaaS), Audio, Cloud computing, Software development",https://golden.com/wiki/Spotify-5YB
Matter,"Matter helps you become the best version of yourself. Discover your strengths, feel confident at work, set new goals and reach your potential.",https://golden-storage-production.s3.amazonaws.com/topic_images/bb71de1c9ef8414e8ee963c2143355e1.png,https://matterapp.com/,"San Francisco, California","Technology, Enterprise software, Software as a service (SaaS), Cloud computing, Software",https://golden.com/wiki/Matter-WWV
Atomic,Atomic is a venture capital firm that founds and funds companies.,https://golden-storage-production.s3.amazonaws.com/topic_images/3d1a20feb13e45688b872ed9a6dff533.png,http://www.atomic.vc,"Waterloo, Ontario, San Francisco, Miami, United States","Enterprise software, Software as a service (SaaS), Cloud computing, Software, Business development, Wealth management, Startup",https://golden.com/wiki/Atomic-NW4
Oracle Corporation,"Oracle Corporation is an american multinational computer technology corporation founded in 1977 by Larry Ellison, Bob Miner and Ed Oates.",https://golden-media.s3.amazonaws.com/topics/300px-Oracle-October2011.jpg,"http://www.oracle.com, http://oracle.com, https://www.oracle.com/sun/","Redwood Shores, California, Austin, Texas, Redwood City, California, United States","Information technology consulting, Software development, Open-source software, Database, Software, Original equipment manufacturer, Software as a service (SaaS), Cloud computing, Cloud management, Infrastructure as a service (IaaS), Platform as a service (PaaS), Software engineering, Business intelligence (BI), ETL, Compliance, Anti-money laundering (AML), Issue tracking system, Enterprise software, Hardware, Wi-Fi, Wireless, E-commerce, Open source management, Telecommunication",https://golden.com/wiki/Oracle_Corporation-PBWX5
Patch,Patch is a company founded by Brett Plotzker.,https://golden-storage-production.s3.amazonaws.com/topic_images/6704ba0612ae4da68b7a9b1dcc5dddfe.png,https://getpatch.com,"San Francisco, United Kingdom","Financial technology, Health insurance, Insurance, Healthcare, Software as a service (SaaS)",https://golden.com/wiki/Patch-8AA58
Plasticity Labs,A software company offering a platform for improving the psychological skills of employees. ,https://golden-storage-production.s3.amazonaws.com/topic_images/96ae14809d8c4f20917801dfa7ee0426.png,http://plasticitylabs.com,"Waterloo, Ontario, California, Canada","Platform as a service (PaaS), Business intelligence (BI), Enterprise software, Software as a service (SaaS), Cloud computing, Software",https://golden.com/wiki/Plasticity_Labs-K43DB
Parity,Parity is a digital wallet for the Ethereum blockchain,https://golden-media.s3.amazonaws.com/topic_images/a561b7e6aac34b4faa5c0492c0f70690.png,"https://www.parity.io/, http://paritytech.io, https://parity.io/","London, United Kingdom, United States","Education, Small and medium-sized enterprises, Educational technology, Cryptocurrency, Blockchain, Software, Enterprise software, Financial technology, Cryptocurrency wallet, Software as a service (SaaS), Decentralized autonomous organization (DAO)",https://golden.com/wiki/Parity-MN6E5
Quid,A business intelligence company offering an artificially intelligent analytics web-based software platform . ,https://golden-media.s3.amazonaws.com/topic_images/52bef9adeda3425790a183ab3e5e19c9.jpeg,http://quid.com/,San Francisco,"Enterprise software, Artificial Intelligence (AI), Big data, Software as a service (SaaS), Cloud computing, Software",https://golden.com/wiki/Quid-XKX3Y
Buffer,"Buffer is a company founded by Joel Gascoigne, Leo Widrich and Tom Moor.",https://golden-storage-production.s3.amazonaws.com/topic_images/f9ce432965304966be22815c890f468e.png,"http://buffer.com, https://buffer.com/resources/",San Francisco,"Small and medium-sized enterprises, Software as a service (SaaS), Software, Social media, Productivity software, Cloud computing, Productivity, Blog",https://golden.com/wiki/Buffer-YXBRA
Drift,Drift is a software company offering a conversational marketing platform founded in 2015 by David Cancel.,https://golden-storage-production.s3.amazonaws.com/topic_images/f5523de10b904a55a9572da1f5eaa4b4.png,"http://www.drift.com/, https://www.drift.com/platform/","Boston, San Francisco, Tampa, Florida, London, Sydney","Software as a service (SaaS), Marketing, Customer experience, Sales, Software, GraphQL, Cloud computing, Artificial Intelligence (AI), Advertising, Enterprise software, Marketing automation, Sales Automation",https://golden.com/wiki/Drift-393JV
Canopy,"Canopy is a Draper, Utah-based company founded in 2014.",https://golden-storage-production.s3.amazonaws.com/topic_images/eb66f7a7738f4eceb7b12eaa038f97f0.png,https://www.getcanopy.com/,"Draper, Utah","Big data, iOS, Shared services, Small and medium-sized enterprises, Financial services, Software as a service (SaaS), Productivity software, Cloud computing, Software, Collaboration, Platform as a service (PaaS), Oncology",https://golden.com/wiki/Canopy-GYEWD
Terminus,Terminus is a company founded in 2014.,https://golden-storage-production.s3.amazonaws.com/topic_images/4d0e9cae25364d1da885dfae5394fa66.png,"http://terminus.com, http://www.terminus.com",Atlanta,"Software as a service (SaaS), Advertising, Business-to-business, Cloud computing, Software, Marketing",https://golden.com/wiki/Terminus-KN9GP
Papa,"Also known as Papa Technologies, Papa provides a platform connecting college students to senior citizens in need of transportation, house help, technology lessons, companionship and other services.",https://golden-storage-production.s3.amazonaws.com/topic_images/ea2a44cc91564678b8b72a19137b01ba.png,"https://www.joinpapa.com/, https://papa.com/",Miami,"Software, Elderly care, Healthcare, Software as a service (SaaS), Nursing, College, Elder technology, Assistance, Student, Solution Analysts, Vertical SaaS, Cloud computing, Cinematography",https://golden.com/wiki/Papa-V44JG
Dassault Systèmes,Dassault Systèmes is a digital twin and virtual experience provider for industrial and manufacturing industries and to better develop and produce their products.,https://golden-storage-production.s3.amazonaws.com/topic_images/629719e1c28548198be48f112f99dda0.jpeg,"http://www.3ds.com/, http://3ds.com","Vélizy-Villacoublay, Waltham, Massachusetts, Singapore, Shanghai","Artificial Intelligence (AI), Manufacturing, Software, Simulation, Software engineering, Digital Engineering, Electronic design automation, Software as a service (SaaS), Technology, Computer Software",https://golden.com/wiki/Dassault_Syste%CC%80mes-GNW6D
Dispatch," Dispatch is a technology company that develops enterprise software, mobile workforce and field service management technologies, Last-Mile, and on-demand market-place platforms. ",https://golden-storage-production.s3.amazonaws.com/topic_images/c4bd24e07d2d42f4a72edf5562a473f6.png,http://www.dispatch.me,Boston,"Application programming interface (API), Enterprise software, Software as a service (SaaS), Home care, Productivity software, Cloud computing, Software",https://golden.com/wiki/Dispatch-G6KK9
Handshake,Handshake is a San Francisco-based company founded in 2010 by Garrett Lord.,https://golden-media.s3.amazonaws.com/topics/300px-Hermandad_-_friendship.jpg,https://www.handshake.com,"New York, New York, Iowa","Mobile enterprise, Business-to-business, Software as a service (SaaS), Cloud computing, Software, Shopping",https://golden.com/wiki/Handshake-N6KWD
Hive,Hive is a productivity platform that drives companies to work forward.,https://golden-storage-production.s3.amazonaws.com/topic_images/e2c249d4ea6c4ab3b1edb0313d602a74.png,http://hive.com,"New York, New York, Iowa, United States","Productivity software, Enterprise software, Software as a service (SaaS), Cloud computing, Software, E-commerce, Cryptocurrency, Blockchain",https://golden.com/wiki/Hive-KGVKV
Autodesk,Autodesk 3ds Max parent company,https://golden-storage-production.s3.amazonaws.com/topic_images/83eed563a49441d1bed96be835e31fed.png,"http://www.autodesk.com/, http://autodesk.com","San Rafael, California, Mill Valley, California","Software development, Software, Engineering, Synthetic biology, Version Control System, Construction, Vertical SaaS, Software as a service (SaaS), Digital twin, Cloud computing, Automation, Geographic information system, Geospatial intelligence, Geospatial , Digital Engineering, Electronic design automation",https://golden.com/wiki/Autodesk-4PMKX
Sourcery,Sourcery is a discworld novel by terry pratchett founded in 2012 by Na'ama Moran.,https://golden-storage-production.s3.amazonaws.com/topic_images/ae6ba6a64a424159bbec900f47e17115.png,http://www.getsourcery.com,"San Francisco, Las Vegas","Financial services, Software as a service (SaaS), Cloud computing, Software",https://golden.com/wiki/Sourcery-M5PDW
Hull,"Hull is an Atlanta-based company founded in 2013 by Romain Dardour, Stephane Bellity, Matthieu Chereau and Stefan Koenig.",https://golden-storage-production.s3.amazonaws.com/topic_images/cb673eb504c442c9997ea6d059b5ad38.png,http://hull.io,Atlanta,"Personalization, Mass customization, Big data, Software as a service (SaaS), Cloud computing, Software",https://golden.com/wiki/Hull-K5XDK
SirionLabs,SirionLabs provides a contract lifecycle management (CLM) platform for enterprises.,https://golden-storage-production.s3.amazonaws.com/topic_images/e1941efbba48440b9a66beb3b69c0f24.jpeg,"https://www.sirionlabs.com/, http://sirionlabs.com","Seattle, Washington (state), New York","Software, Enterprise, Risk management, Software as a service (SaaS), Enterprise software, Financial technology",https://golden.com/wiki/SirionLabs-DVZYW
Superhuman,"A company offering an email client designed to be the fastest email experience. The company was founded by Conrad Irwin, Rahul Vohra, and Vivek Sodera in 2015 and is headquartered in San Francisco, California. ",https://golden-storage-production.s3.amazonaws.com/topic_images/4adbd1f20a2a450fb232a8a17a7337fa.jpeg,https://superhuman.com,"San Francisco, United States","Productivity, Software, Productivity software, Mobile enterprise, Enterprise software, Software as a service (SaaS), Email, Cloud computing",https://golden.com/wiki/Superhuman-B3589
UL (safety organization),"UL is a safety, security and compliance consulting and certification company. Areas covered include cyber security.",https://golden-media.s3.amazonaws.com/topics/300px-UL_Mark.svg.jpg,"http://www.ul.com, http://ul.com, http://industries.ul.com, https://www.ulehssustainability.com, https://ulehssustainability.com/","Northbrook, Illinois, United Kingdom","Software, Public security, Compliance, Occupational safety and health, ESG validation, Penetration test, Cybersecurity, Consulting, Governance, risk management, and compliance, Information technology, Software as a service (SaaS), Security, Video surveillance, Identity management",https://golden.com/wiki/UL_(safety_organization)-98YDZ
Headset,Headset is a tech company providing an IT solution for the cannabis industry.,https://golden-storage-production.s3.amazonaws.com/topic_images/98f0e1539ce6465385a18d72d97fc190.png,http://headset.io,"Seattle, United States, Washington (state)","Cannabis (drug), Analytics, Business intelligence (BI), Market research, Software as a service (SaaS), Big data, Research",https://golden.com/wiki/Headset-B6ZMM
Portal,Portal is a company founded in 2018.,https://golden-storage-production.s3.amazonaws.com/topic_images/426a69ad0e0b4d46b8f45f043f2094d8.png,https://portal.cloud,"Mountain View, Contra Costa County, California, Sunnyvale, California","Privacy, Cloud computing, Software as a service (SaaS), Software",https://golden.com/wiki/Portal-JJ6K5
Vela,"Developer of a SaaS-based online marketplace aggregation and management tool designed to connect sellers, platforms, and products together. ",https://golden-storage-production.s3.amazonaws.com/topic_images/3ad1f81437744bb5aee1b972be884929.png,"https://welcome.getvela.com/, http://getvela.com","United States, San Francisco","Big data, E-commerce, Software as a service (SaaS), Cloud computing, Software, Professional services, D2C",https://golden.com/wiki/Vela-36MY5
SoftBank Group,"SoftBank Group is a multinational conglomerate holding company investing in businesses and technologies based in Minato, Tokyo-based company founded in 1981 by Masayoshi Son.",https://golden-storage-production.s3.amazonaws.com/topic_images/cdb673abb8eb4a07b2a7bef189cde53f.png,"http://www.softbank.jp/en, https://group.softbank/, http://softbank.com/newweb/, http://www.softbank.com/, http://www.softbank.com/newweb/, https://group.softbank/en, https://www.crunchbase.com/organization/softbank-capital, https://softbank.com/","Minato, Tokyo, Japan, Tokyo, New York, New York City","Telecommunication, Information technology, Financial services, Wealth management, Telecommunications industry, International Standard Industrial Classification, Software, E-commerce, Digital media, Business-to-business, Software as a service (SaaS), Enterprise software, Cloud computing, Artificial Intelligence (AI)",https://golden.com/wiki/SoftBank_Group-NK3YB
Endgame,Endpoint security company acquired by Elastic in June 2019. Endgame's technology was implemented as Elastic Endpoint Security,https://golden-storage-production.s3.amazonaws.com/topic_images/4ae1d6badc524d3c8ae4884de2c5f339.png,"https://www.endgame.com/, http://www.endgamesystems.com, http://endgame.com","Arlington County, Virginia, Virginia, United States","Computer security, Enterprise software, Software as a service (SaaS), Enterprise, Security, Software, Analytics, Cloud computing, Cybersecurity, Cinematography",https://golden.com/wiki/Endgame-3N66P
Zend Technologies,"Zend Technologies is a Cupertino, California-based company founded in 1999 by Andi Gutmans.",https://golden-storage-production.s3.amazonaws.com/topic_images/548d7fee21ed4fdabed8ab5ce6d63ab2.png,http://www.zend.com/,"Cupertino, California","Platform as a service (PaaS), Service industry, Software as a service (SaaS), Cloud computing, Software industry, Software",https://golden.com/wiki/Zend_Technologies-MXJXN
Convex,"Convex Group is a specialty insurer and reinsurer focused on complex risks, claims and underwriting across a wide range of business. It offers risk solutions for marine, equine, aerospace, casualty, crisis management, energy, property, accident & health and political risk & credit.",https://golden-storage-production.s3.amazonaws.com/topic_images/d93ec8ddf7fc4a44824ebbcd0486f47c.png,https://www.convex.com/,San Francisco,"HVAC, Construction, Software as a service (SaaS), Cloud computing, Software, Insurance, Technology, Financial technology, InsurTech",https://golden.com/wiki/Convex-ARB9J
Punchbowl,"Punchbowl is a Framingham, Massachusetts-based developer of web-based software platform for event planning, event management, digital and custom invitations, and greeting cards.",https://golden-storage-production.s3.amazonaws.com/topic_images/156c63a499ce430abe1ed2977260e60e.png,http://www.punchbowl.com,"Framingham, Massachusetts","Event management, Invitation, Software as a service (SaaS), Cloud computing, Software",https://golden.com/wiki/Punchbowl-DY5EP
Trend Micro,"Trend Micro is a Tokyo-based developer of server security, cloud security, and small business content security solutions.",https://golden-media.s3.amazonaws.com/topics/300px-Trend-Micro-Logo.svg.jpg,"http://www.trendmicro.com/, https://www.trendmicro.com, http://trendmicro.com","Tokyo, Ottawa, Irving, Texas, Japan","Antivirus software, Internet security, Mobile device management, Cybersecurity, Cloud computing security, Computer security, Data security, Ransomware protection, Network security, Cloud computing, Email Security, Open-source software, Open source management, DevOps, Software as a service (SaaS)",https://golden.com/wiki/Trend_Micro-MPK3X
Snaps,Snaps is an artificial Intelligence company founded in 2015 by Vivian Rosenthal.,https://golden-media.s3.amazonaws.com/topic_images/cb9027801e0f4d2782a4f845a2be79b2.jpeg,"http://snaps.io, http://www.snaps.io/",New York City,"Mobile advertising, Artificial Intelligence (AI), Software as a service (SaaS), Cloud computing, Software",https://golden.com/wiki/Snaps-BWWZ8M
Quip (company),"A company with a collaborative productivity software for mobile and the web. It was founded in 2012 and is located in San Francisco, California. ",https://golden-storage-production.s3.amazonaws.com/topic_images/2213292b587e48a7b1be4a69191f6aef.png,http://quip.com/,"San Francisco, New York City","Software engineering, Productivity software, Dental, Open-source software, Productivity, Software as a service (SaaS), Cloud computing",https://golden.com/wiki/Quip_(company)-MNAGKX
Resolver,Resolver's Integrated Risk Management platform helps plan and prepare your organization to limit the likeliness or impact of security risk and compliance events from occurring.,https://golden-storage-production.s3.amazonaws.com/topic_images/2c83a3fff573459ca114da9823469850.png,"http://www.resolver.com, http://resolver.com","London, Toronto, California, Toronto, Prince Edward Island, Canada, Ontario","Enterprise software, Risk management, Incident management, Artificial Intelligence (AI), Compliance, Insurance, Cybersecurity, Governance, risk management, and compliance, Information technology, Software as a service (SaaS)",https://golden.com/wiki/Resolver-NMY66D
OpenText,A software company offering an enterprise information management platform. ,https://golden-storage-production.s3.amazonaws.com/topic_images/42ce6a11a9834763a9504f7ded646209.png,"http://www.opentext.com/, http://opentext.com, http://careers.opentext.com","Waterloo, Ontario, Waterloo, Nova Scotia, Waterloo (Howard County, Maryland), Canada, Singapore","Electronic discovery, Business development, Enterprise software, Customer relationship management (CRM), Software, No-code / low-code development, Business intelligence (BI), Forensic science, Digital forensics, Cloud computing, Cybersecurity, Governance, risk management, and compliance, Information technology, Software as a service (SaaS), Knowledge management (KM), Insurance Technology",https://golden.com/wiki/OpenText-PBPZKD
Sticky,Sticky is a company founded in 2010 by Mathias Plank.,https://golden-storage-production.s3.amazonaws.com/topic_images/72e9c4b4a07246b9921d5e7d21133760.png,http://sticky.ai,"New York City, New York, Sweden","Market research, Digital media, Artificial Intelligence (AI), Software, Facial recognition, Software as a service (SaaS), Research, Machine learning, Computer Vision",https://golden.com/wiki/Sticky-ZXJWE8
Verio,"Verio is a Boca Raton, Florida-based company founded in 1996.",https://golden-storage-production.s3.amazonaws.com/topic_images/b493a21e55424fbebf77a8d343d3a989.png,http://www.verio.com/,"Boca Raton, Florida","Software as a service (SaaS), Cloud computing, Web hosting service, Software",https://golden.com/wiki/Verio-MNY9WM
Cedar,Cedar is a company founded in 2016 by Arel Lidow.,https://golden-storage-production.s3.amazonaws.com/topic_images/3852270afa40436c8f5d839e752e30b2.png,"http://www.cedar.com, http://cedar.com","New York, New York City","Financial technology, Personal finance, Health information technology, Healthcare, Financial services, Health, Hospital, Management, Enterprise, B2B, Software as a service (SaaS), Payment, Social impact",https://golden.com/wiki/Cedar-NMJ5KB
On2 Technologies,On2 Technologies is a small publicly traded company founded in 1992.,https://golden-media.s3.amazonaws.com/topics/300px-On2_Technologies_Logo.svg.jpg,http://www.on2.com/,New York City,"Software, Software as a service (SaaS), Cloud computing",https://golden.com/wiki/On2_Technologies-DB9YJV
iconectiv,"Iconectiv offers software as a service (SaaS) to communications service providers, providing critical network support.",https://golden-storage-production.s3.amazonaws.com/topic_images/1014811ebc0b44e284b7d713573685c7.png,http://iconectiv.com/,"Bridgewater Township, New Jersey, New Jersey","Software as a service (SaaS), Information technology, IT Consulting, Telecommunication",https://golden.com/wiki/iconectiv-4NXKJ4
Sabre Corporation,"Sabre Corporation is a Southlake, Texas-based company founded in 1960.",https://golden-storage-production.s3.amazonaws.com/topic_images/f4aa7c08b49943dc8c94ebcc78b1a09e.png,http://www.sabre.com/,"Southlake, Texas","Software as a service (SaaS), Travel, Cloud computing, Software, Application programming interface (API), API as a product",https://golden.com/wiki/Sabre_Corporation-BW3ZK9
Acronis,"Acronis is a cybersecurity and data protection company headquartered in Schaffhausen, Switzerland. The company offers antivirus, backup, disaster recovery, endpoint protection management solutions, AI-based antimalware, and blockchain-based data authentication technologies through service provider and IT professional deployment models. ",https://golden-storage-production.s3.amazonaws.com/topic_images/8ca84064a11e40c98be0155edc71cd46.png,"https://www.acronis.com/, https://acronis.com","Schaffhausen, Burlington, Massachusetts, Singapore, Switzerland","Web hosting service, Homeland security, Flash storage, Software, Cybersecurity, Data security, Cloud computing, Data management, Antivirus software, Ransomware protection, Backup (data), Disaster recovery (data), Computer security, Software as a service (SaaS)",https://golden.com/wiki/Acronis-EA4YAR
Pyro,A Deep Probabilistic Programming Language by Uber AI Labs.,https://golden-media.s3.amazonaws.com/topic_images/de2128fbd8c947bca25685ac7ebb45bf.jpeg,http://pyroplatform.com,Chicago,"Software as a service (SaaS), Artificial Intelligence (AI), Machine learning, Software development, Cloud computing, Software",https://golden.com/wiki/Pyro-VWVK8N
Stack Overflow,A question and answers site for practical programming questions.,https://golden-storage-production.s3.amazonaws.com/topic_images/2346ca0db5734d5c915b0be10ccb6308.png,https://stackoverflow.com,New York,"Software, Recruitment, Database, Education, Educational technology, Social network, Programming, Training, Productivity, Software as a service (SaaS), Cloud computing, Productivity software",https://golden.com/wiki/Stack_Overflow-EAEXZ4
MicroStrategy,MicroStrategy is a Virginia-based software developer of a business intelligence and analytics platform founded by Michael J. Saylor.,https://golden-storage-production.s3.amazonaws.com/topic_images/d4815d23494f402683a7e41294cad99b.png,"https://www.microstrategy.com/, http://microstrategy.com","Virginia, Tysons Corner, Virginia, Vienna, Virginia, United States","Analytics, Business intelligence (BI), Data visualization, Software industry, Software development, Software, Service industry, Data science, Artificial Intelligence (AI), Predictive analytics, Software as a service (SaaS), Knowledge management (KM), Cybersecurity",https://golden.com/wiki/MicroStrategy-GEMGVA
