Name,Description,Thumbnail,Official Website,Location,Industry,Url
Carta (company),Carta (formerly eShares) is a San Francisco-based cap table management platform that offers 409A valuations and products for investors and public companies.,https://golden-media.s3.amazonaws.com/topic_images/58ac8431550140cea03ee7b45a894c88.png,"http://carta.com, http://www.carta.com","San Francisco, United States","Enterprise software, Financial services, Private equity, Management, Financial technology, Software, Stock exchange, Software as a service (SaaS)",https://golden.com/wiki/Carta_(company)-AN9
Opsware (company),"Opsware is a Sunnyvale, California-based company founded in 1999 by Marc Andreessen, Ernest Borgnine, Ikue Mori, MC 900 Ft. Jesus, Tim Howes, Jerome Froese, RT!, Vhils, Ben Horowitz, TFOX, Ikonika, Arteezy, IJK, Civic, In Sik Rhee, Cnaan Aviv, Scott B. Geyer, Chi Pham, Samir A. Ahmed, George Eng and Fedorishcheva Tatiana.",https://golden-media.s3.amazonaws.com/topics/2faff54c-0aef-4670-b03e-a8acba179ff5.png,"http://www.opsware.com, http://www8.hp.com/us/en/software/enterprise-software.html, https://opsware.com/","Sunnyvale, California, United Kingdom","Software, Analytics, Software as a service (SaaS), Cloud computing, Enterprise software, Collaboration, Compliance, Platform as a service (PaaS), Edge computing, No-code / low-code development, Vertical SaaS, Project management, No-code, Headless content management system, Issue tracking system, Content management system (CMS), Productivity software, Financial management, Task management, Product management",https://golden.com/wiki/Opsware_(company)-NBY
Bugsnag,"Bugsnag is an error monitoring platform for mobile, server, and browser applications based in San Francisco.",https://golden-storage-production.s3.amazonaws.com/topic_images/6bb47cbdfca74c85af54b52e8cd22186.jpeg,"http://www.bugsnag.com, https://bugsnag.com/",San Francisco,"Software as a service (SaaS), Software, Exception tracking, Cloud computing, DevOps",https://golden.com/wiki/Bugsnag-84D
Spotify,Spotify is a platform for listening to music and podcasts founded in 2006 by Daniel Ek.,https://golden-storage-production.s3.amazonaws.com/topic_images/b52e9ece3a1a4463b87681e291b2bb6e.png,"https://www.spotify.com, http://spotify.com","Stockholm, Florida, Coral Gables, Florida, United Kingdom","Podcast platform, Music, Streaming media, Music industry, Podcast aggregator, Passion economy, Software, Technology, Entertainment technology, Smart notification management, Entertainment industry, Machine learning, Artificial Intelligence (AI), Software as a service (SaaS), Audio, Cloud computing, Software development",https://golden.com/wiki/Spotify-5YB
Qubit,"Qubit combines customer data, deep learning technology, and advanced segmentation capabilities to match customers with a range of personalized online experiences.",https://golden-storage-production.s3.amazonaws.com/topic_images/3ae9532ba1784d428b9946dc96db3bb4.png,http://Qubit.com,"London, London, Ohio","Enterprise software, Digital media, Personalization, Big data, E-commerce, Software as a service (SaaS), Cloud computing, Software",https://golden.com/wiki/Qubit-6DX
Plasticity Labs,A software company offering a platform for improving the psychological skills of employees. ,https://golden-storage-production.s3.amazonaws.com/topic_images/96ae14809d8c4f20917801dfa7ee0426.png,http://plasticitylabs.com,"Waterloo, Ontario, California, Canada","Platform as a service (PaaS), Business intelligence (BI), Enterprise software, Software as a service (SaaS), Cloud computing, Software",https://golden.com/wiki/Plasticity_Labs-K43DB
Drift,Drift is a software company offering a conversational marketing platform founded in 2015 by David Cancel.,https://golden-storage-production.s3.amazonaws.com/topic_images/f5523de10b904a55a9572da1f5eaa4b4.png,"http://www.drift.com/, https://www.drift.com/platform/","Boston, San Francisco, Tampa, Florida, London, Sydney","Software as a service (SaaS), Marketing, Customer experience, Sales, Software, GraphQL, Cloud computing, Artificial Intelligence (AI), Advertising, Enterprise software, Marketing automation, Sales Automation",https://golden.com/wiki/Drift-393JV
Canopy,"Canopy is a Draper, Utah-based company founded in 2014.",https://golden-storage-production.s3.amazonaws.com/topic_images/eb66f7a7738f4eceb7b12eaa038f97f0.png,https://www.getcanopy.com/,"Draper, Utah","Big data, iOS, Shared services, Small and medium-sized enterprises, Financial services, Software as a service (SaaS), Productivity software, Cloud computing, Software, Collaboration, Platform as a service (PaaS), Oncology",https://golden.com/wiki/Canopy-GYEWD
Papa,"Also known as Papa Technologies, Papa provides a platform connecting college students to senior citizens in need of transportation, house help, technology lessons, companionship and other services.",https://golden-storage-production.s3.amazonaws.com/topic_images/ea2a44cc91564678b8b72a19137b01ba.png,"https://www.joinpapa.com/, https://papa.com/",Miami,"Software, Elderly care, Healthcare, Software as a service (SaaS), Nursing, College, Elder technology, Assistance, Student, Solution Analysts, Vertical SaaS, Cloud computing, Cinematography",https://golden.com/wiki/Papa-V44JG
Randori,Randori is a Boston-based company.,https://golden-storage-production.s3.amazonaws.com/topic_images/7ca001ffe082415dbd3177d1e7331084.png,https://joinrandori.com,Boston,"Rock climbing, Augmented reality, Software as a service (SaaS), Cloud computing, Software",https://golden.com/wiki/Randori-E6EMP
